"Titolo","Rivista","Data"
"[Pattern of liver injury in adult patients with COVID-19: a retrospective analysis of 105 patients](https://doi.org/10.21203/rs.3.rs-20849/v2)","Research Square","2020-05-18"
"[REMBRANDT: A high-throughput barcoded sequencing approach for COVID-19 screening](https://doi.org/10.1101/2020.05.16.099747)","bioRxiv","2020-05-20"
"[The Impacts of COVID-19 to Small Scale Fisheries in Tun Mustapha Park, Sabah, Malaysia; What Do We Know So Far?](https://doi.org/10.20944/preprints202005.0287.v1)","Preprints.org","2020-05-19"
"[Understanding the indoor pre-symptomatic transmission mechanism of COVID-19](https://doi.org/10.1101/2020.05.12.20099085)","medRxiv","2020-05-18"
"[<strong></strong>COVID-19: Prediction of Vulnerable Areas Having High Risk of Becoming Hostspots and Providing Necessary Statistics during COVID-19 Pandemic](https://doi.org/10.20944/preprints202005.0298.v1)","Preprints.org","2020-05-19"
"[A Novel Cohorting and Isolation Strategy for Suspected COVID-19 Cases during a Pandemic](https://doi.org/10.1101/2020.05.14.20091843)","medRxiv","2020-05-19"
"[A Proposed Randomized, Double Blind, Placebo Controlled Study Evaluating Doxycycline for the Prevention of COVID-19 Infection and Disease In Healthcare Workers with Ongoing High Risk Exposure to COVID-19](https://doi.org/10.1101/2020.05.11.20098525)","medRxiv","2020-05-19"
"[A citizen science initiative for open data and visualization of COVID-19 outbreak in Kerala, India](https://doi.org/10.1101/2020.05.13.20092510)","medRxiv","2020-05-19"
"[A novel COVID-19 epidemiological model with explicit susceptible and asymptomatic isolation compartments reveals unexpected consequences of timing social distancing](https://doi.org/10.1101/2020.05.11.20098335)","medRxiv","2020-05-19"
"[A pitfall in estimating the effective reproductive number Rt for COVID-19](https://doi.org/10.1101/2020.05.12.20099366)","medRxiv","2020-05-19"
"[A snapshot of the ongoing clinical research on COVID-19](https://doi.org/10.12688/f1000research.23843.1)","F1000Res","2020-05-19"
"[A stochastic, individual-based model for the evaluation of the impact of non-pharmacological interventions on COVID-19 transmission in Slovakia](https://doi.org/10.1101/2020.05.11.20096362)","medRxiv","2020-05-19"
"[Accessibility and allocation of public parks and gardens during COVID-19 social distancing in England and Wales](https://doi.org/10.1101/2020.05.11.20098269)","medRxiv","2020-05-19"
"[Africa’s response to the COVID-19 pandemic: A review of the nature of the virus, impacts and implications for preparedness](https://doi.org/10.12688/aasopenres.13060.1)","AAS Open Res","2020-05-19"
"[Afucosylated immunoglobulin G responses are a hallmark of enveloped virus infections and show an exacerbated phenotype in COVID-19](https://doi.org/10.1101/2020.05.18.099507)","bioRxiv","2020-05-20"
"[Age-dependence of mortality from novel coronavirus disease (COVID-19) in highly exposed populations: New York transit workers and residents and Diamond Princess passengers.](https://doi.org/10.1101/2020.05.14.20094847)","medRxiv","2020-05-19"
"[An SEIARD epidemic model for COVID-19 in Mexico: mathematical analysis and state-level forecast](https://doi.org/10.1101/2020.05.11.20098517)","medRxiv","2020-05-19"
"[Analysis of myocardial enzyme spectrum in 230 COVID-19 patients of Chongqing, China.](https://doi.org/10.21203/rs.3.rs-23849/v1)","Research Square","2020-05-19"
"[Behavioural change towards reduced intensity physical activity is disproportionately prevalent among adults with serious health issues or self-perception of high risk during the UK COVID-19 lockdown.](https://doi.org/10.1101/2020.05.12.20098921)","medRxiv","2020-05-19"
"[Bounding the Predictive Values of COVID-19 Antibody Tests](https://doi.org/10.1101/2020.05.14.20102061)","medRxiv","2020-05-19"
"[COVID-19 OUTCOMES IN MS: EARLY EXPERIENCE FROM NYU MULTIPLE SCLEROSIS COMPREHENSIVE CARE CENTER](https://doi.org/10.1101/2020.05.12.20094508)","medRxiv","2020-05-19"
"[COVID-19 genomic susceptibility: Definition of ACE2 variants relevant to human infection with SARS-CoV-2 in the context of ACMG/AMP Guidance](https://doi.org/10.1101/2020.05.12.20098160)","medRxiv","2020-05-19"
"[COVID-19 outbreak in Italy: estimation of reproduction numbers over two months toward the Phase 2](https://doi.org/10.1101/2020.05.12.20076794)","medRxiv","2020-05-19"
"[COVID-19 pandemic: every day feels like a weekday to most](https://doi.org/10.1101/2020.05.11.20098228)","medRxiv","2020-05-19"
"[Can Climatic Factors Explain The Differences In Covid-19 Incidence And Severity Across The Spanish Regions?: An Ecological Study](https://doi.org/10.21203/rs.3.rs-29377/v1)","Research Square","2020-05-19"
"[Characteristics and evaluation of the effectiveness of monitoring and control measures for the first 69 Patients with COVID-19 from 18 January 2020 to 2 March in Wuxi, China](https://doi.org/10.21203/rs.3.rs-25895/v1)","Research Square","2020-05-19"
"[Clinical manifestations and perinatal outcomes of pregnant women with COVID-19: a systematic review and meta-analysis](https://doi.org/10.21203/rs.3.rs-29550/v1)","Research Square","2020-05-19"
"[Covid-19 Detection using CNN Transfer Learning from X-ray Images](https://doi.org/10.1101/2020.05.12.20098954)","medRxiv","2020-05-21"
"[Covid-19 by Race and Ethnicity: A National Cohort Study of 6 Million United States Veterans](https://doi.org/10.1101/2020.05.12.20099135)","medRxiv","2020-05-19"
"[Current Evidence of the Pharmacological Treatments for Novel Coronavirus Disease 2019 (COVID-19) A Scoping Review](https://doi.org/10.1101/2020.05.12.20093997)","medRxiv","2020-05-19"
"[Current status of global research on novel coronavirus disease (COVID-19): a bibliometric analysis and knowledge mapping](https://doi.org/10.12688/f1000research.23690.1)","F1000Res","2020-05-19"
"[Decline in Emergent and Urgent Care during the COVID-19 Pandemic](https://doi.org/10.1101/2020.05.14.20096602)","medRxiv","2020-05-19"
"[E-cigarette-Induced Pulmonary Inflammation and Dysregulated Repair are Mediated by nAChR α7 Receptor: Role of nAChR α7 in ACE2 Covid-19 receptor regulation](https://doi.org/10.21203/rs.2.23829/v2)","Research Square","2020-05-19"
"[Early transmission dynamics of COVID-19 in Chile: From sub-exponential ascending growth dynamics to a stationary disease wave, March-April, 2020](https://doi.org/10.1101/2020.05.15.20103069)","medRxiv","2020-05-19"
"[Early transmission of COVID-19 has an optimal temperature but late transmission decreases in warm climate](https://doi.org/10.1101/2020.05.14.20102459)","medRxiv","2020-05-19"
"[Empirical Model of Spring 2020 Decrease in Daily Confirmed COVID-19 Cases in King County, Washington](https://doi.org/10.1101/2020.05.11.20098798)","medRxiv","2020-05-19"
"[Epidemiological,clinical and radiological findings in medical staff with COVID-19 in Wuhan, China: a single-centered, retrospective cohort study](https://doi.org/10.21203/rs.3.rs-28753/v1)","Research Square","2020-05-19"
"[Estimating COVID-19 pandemic severity in Indian context](https://doi.org/10.21203/rs.3.rs-29484/v1)","Research Square","2020-05-20"
"[Estimating the Global Infection Fatality Rate of COVID-19](https://doi.org/10.1101/2020.05.11.20098780)","medRxiv","2020-05-19"
"[Estimating the true (population) infection rate for COVID-19: A Backcasting Approach with Monte Carlo Methods](https://doi.org/10.1101/2020.05.12.20098889)","medRxiv","2020-05-19"
"[Excess Out-Of-Hospital Mortality and Declining Oxygen Saturation: The Sentinel Role of EMS Data in the COVID-19 Crisis in Tijuana, Mexico](https://doi.org/10.1101/2020.05.13.20098186)","medRxiv","2020-05-19"
"[Forecasting COVID-19 pandemic Severity in Asia](https://doi.org/10.1101/2020.05.15.20102640)","medRxiv","2020-05-19"
"[Forecasting Covid-19 dynamics in Brazil: a data driven approach](https://doi.org/10.1101/2020.05.11.20098392)","medRxiv","2020-05-19"
"[Fusing a Bayesian case velocity model with random forest for predicting COVID-19 in the U.S.](https://doi.org/10.1101/2020.05.15.20102608)","medRxiv","2020-05-19"
"[Fuzzy Modelling of Clinical and Epidemiological Factors for COVID-19](https://doi.org/10.21203/rs.3.rs-29370/v1)","Research Square","2020-05-20"
"[Generate, Repurpose, Validate: A Receptor-Mediated Atom-by-Atom Drug Generation for SARS-Cov-2 Spike Protein and Similarity-Mapped Drug Repurposing for COVID-19 with Rigorous Free Energy Validation Using Well-Tempered Metadynamics](https://doi.org/10.26434/chemrxiv.12318311.v1)","ChemRxiv","2020-05-19"
"[Heg.IA: An intelligent system to support diagnosis of Covid-19 based on blood tests](https://doi.org/10.1101/2020.05.14.20102533)","medRxiv","2020-05-19"
"[Higher Body Mass Index is an Important Risk factor in COVID-19 patients: A Systematic Review](https://doi.org/10.1101/2020.05.11.20098806)","medRxiv","2020-05-19"
"[Household transmission of COVID-19, Shenzhen, January-February 2020](https://doi.org/10.1101/2020.05.11.20092692)","medRxiv","2020-05-19"
"[How well can we forecast the COVID-19 pandemic with curve fitting and recurrent neural networks?](https://doi.org/10.1101/2020.05.14.20102541)","medRxiv","2020-05-19"
"[Immunologic perturbations in severe COVID-19/SARS-CoV-2 infection](https://doi.org/10.1101/2020.05.18.101717)","bioRxiv","2020-05-21"
"[Impact of relaxing Covid-19 social distancing measures on rural North Wales: a simulation analysis](https://doi.org/10.1101/2020.05.15.20102764)","medRxiv","2020-05-19"
"[In Silico high-throughput virtual screening and molecular dynamics simulation study to identify 3CLpro inhibitor of COVID-19](https://doi.org/10.21203/rs.3.rs-29546/v1)","Research Square","2020-05-19"
"[In silico Drug Repurposing for COVID-19: Targeting SARS-CoV-2 Proteins through Docking and Quantum Mechanical Scoring](https://doi.org/10.26434/chemrxiv.12110199.v2)","ChemRxiv","2020-05-19"
"[Internet-based tool for visualizing county and state level COVID-19 trends in the United States.](https://doi.org/10.1101/2020.05.11.20095851)","medRxiv","2020-05-19"
"[Interpretable Artificial Intelligence for COVID-19 Diagnosis from Chest CT Reveals Specificity of Ground-Glass Opacities](https://doi.org/10.1101/2020.05.16.20103408)","medRxiv","2020-05-19"
"[Is it Just About Physical Health? An Internet -Based Cross-Sectional Study Exploring The Pyschological Impacts of COVID-19 Pandemic On University Students in Jordan Using Kessler Psychological Distress Scale](https://doi.org/10.21203/rs.3.rs-29439/v1)","Research Square","2020-05-19"
"[Is it Just About Physical Health? An Internet-Based Cross-Sectional Study Exploring the Psychological Impacts of COVID-19 Pandemic on University Students in Jordan Using Kessler Psychological Distress Scale](https://doi.org/10.1101/2020.05.14.20102343)","medRxiv","2020-05-19"
"[Is sleep apnoea a risk factor for Covid-19? Findings from a retrospective cohort study](https://doi.org/10.1101/2020.05.14.20098319)","medRxiv","2020-05-19"
"[Longitudinal high-throughput TCR repertoire profiling reveals the dynamics of T cell memory formation after mild COVID-19 infection](https://doi.org/10.1101/2020.05.18.100545)","bioRxiv","2020-05-20"
"[Maternal and perinatal outcomes and pharmacological management of Covid-19 infection in pregnancy: a systematic review protocol](https://doi.org/10.21203/rs.3.rs-28635/v1)","Research Square","2020-05-19"
"[Mathematical Model Based COVID-19 Prediction in India and its Different States](https://doi.org/10.1101/2020.05.16.20104232)","medRxiv","2020-05-19"
"[Mental wellbeing in the Bangladeshi healthy population during nationwide lockdown over COVID-19: an online cross-sectional survey](https://doi.org/10.1101/2020.05.14.20102210)","medRxiv","2020-05-19"
"[Mining Twitter Data on COVID-19 for Sentiment analysis and frequent patterns Discovery](https://doi.org/10.1101/2020.05.08.20090464)","medRxiv","2020-05-19"
"[Mixed Chinese herbs and Western medicine for novel coronavirus disease 2019 (COVID-19): a mixed method review](https://doi.org/10.1101/2020.05.11.20098111)","medRxiv","2020-05-19"
"[Modeling the impact of social distancing, testing, contact tracing and household quarantine on second-wave scenarios of the COVID-19 epidemic](https://doi.org/10.1101/2020.05.06.20092841)","medRxiv","2020-05-19"
"[Nicotinic Cholinergic System and COVID-19: Identification of a Potentially Crucial Snake Toxin-Like Sequence in the SARS-CoV-2 Spike Glycoprotein](https://doi.org/10.20944/preprints202005.0301.v1)","Preprints.org","2020-05-19"
"[No evidence of Re-infection or Human-to-Human Transmission in Cured COVID-19 Patients, a Retrospective Cohort Study](https://doi.org/10.21203/rs.3.rs-29355/v1)","Research Square","2020-05-20"
"[On the heterogeneity of infections, containment measures and the preliminary forecast of COVID-19 epidemic](https://doi.org/10.1101/2020.05.12.20096792)","medRxiv","2020-05-19"
"[Parasites and their protection against COVID-19- Ecology or Immunology?](https://doi.org/10.1101/2020.05.11.20098053)","medRxiv","2020-05-19"
"[Progression of COVID-19 in Indian States - Forecasting Endpoints Using SIR and Logistic Growth Models](https://doi.org/10.1101/2020.05.15.20103028)","medRxiv","2020-05-19"
"[Public attitudes towards COVID-19 contact tracing apps: A UK-based focus group study](https://doi.org/10.1101/2020.05.14.20102269)","medRxiv","2020-05-19"
"[Quantitative Analysis of the Effectiveness of Public Health Measures on COVID-19 Transmission](https://doi.org/10.1101/2020.05.15.20102988)","medRxiv","2020-05-19"
"[Reducing visible aerosol generation during phacoemulsification in the era of Covid-19](https://doi.org/10.1101/2020.05.14.20102301)","medRxiv","2020-05-19"
"[Report 21: Estimating COVID-19 cases and reproduction number in Brazil](https://doi.org/10.1101/2020.05.09.20096701)","medRxiv","2020-05-19"
"[Risk Factors for Mortality in Critically Ill Patients with COVID-19 in Huanggang, China: A Single-Centre Multivariate Pattern Analysis](https://doi.org/10.21203/rs.3.rs-29429/v1)","Research Square","2020-05-20"
"[Robot dance: a city-wise automatic control of Covid-19 mitigation levels](https://doi.org/10.1101/2020.05.11.20098541)","medRxiv","2020-05-19"
"[SARS-CoV-2 Antibody responses do not predict COVID-19 disease severity](https://doi.org/10.1101/2020.05.15.20103580)","medRxiv","2020-05-19"
"[SARS-CoV-2 seroprevalence trends in healthy blood donors during the COVID-19 Milan outbreak](https://doi.org/10.1101/2020.05.11.20098442)","medRxiv","2020-05-19"
"[Structural Analysis of Experimental Drugs Binding to the COVID-19 Target TMPRSS2](https://doi.org/10.26434/chemrxiv.12315449.v1)","ChemRxiv","2020-05-19"
"[Study of Non-Pharmacological Interventions on COVID-19 Spread](https://doi.org/10.1101/2020.05.10.20096974)","medRxiv","2020-05-19"
"[Systematic Review and Meta-Analysis of Sex-Specific COVID-19 Clinical Outcomes](https://doi.org/10.1101/2020.05.11.20098673)","medRxiv","2020-05-19"
"[The Presence of COVID-19 in Urine: A Systematic Review and Meta-analysis of the Literature](https://doi.org/10.1101/2020.05.15.20094920)","medRxiv","2020-05-19"
"[The differential impact of physical distancing strategies on social contacts relevant for the spread of COVID-19](https://doi.org/10.1101/2020.05.15.20102657)","medRxiv","2020-05-19"
"[The effect of ambient temperature on worldwide COVID-19 cases and deaths - an epidemiological study](https://doi.org/10.1101/2020.05.15.20102798)","medRxiv","2020-05-19"
"[The epidemiological trends of coronavirus disease (COVID-19) in Iran: February 19 to March 22, 2020](https://doi.org/10.21203/rs.3.rs-29367/v1)","Research Square","2020-05-20"
"[The impact of testing and infection prevention and control strategies on within-hospital transmission dynamics of COVID-19 in English hospitals](https://doi.org/10.1101/2020.05.12.20095562)","medRxiv","2020-05-19"
"[Traces of SARS-CoV-2 RNA in the Blood of COVID-19 Patients](https://doi.org/10.1101/2020.05.10.20097055)","medRxiv","2020-05-19"
"[Transmission dynamics of the COVID-19 epidemic in India and modelling optimal lockdown exit strategies](https://doi.org/10.1101/2020.05.13.20096826)","medRxiv","2020-05-19"
"[Unequal impact of structural health determinants and comorbidity on COVID-19 severity and lethality in older Mexican adults: Looking beyond chronological aging](https://doi.org/10.1101/2020.05.12.20098699)","medRxiv","2020-05-19"
"[Video Consultation in Lung Transplant Recipients during the COVID-19 Pandemic](https://doi.org/10.1101/2020.05.12.20093799)","medRxiv","2020-05-19"
"[AI-based multi-modal integration of clinical characteristics, lab tests and chest CTs improves COVID-19 outcome prediction of hospitalized patients](https://doi.org/10.1101/2020.05.14.20101972)","medRxiv","2020-05-20"
"[An integrated deterministic-stochastic approach for predicting the long-term trajectories of COVID-19](https://doi.org/10.1101/2020.05.13.20101303)","medRxiv","2020-05-20"
"[Assessment of service availability and Infection prevention measures in hospitals of Nepal during the transition phase of COVID-19 case surge](https://doi.org/10.1101/2020.05.13.20097675)","medRxiv","2020-05-21"
"[Blacks/African Americans are 5 Times More Likely to Develop COVID-19: Spatial Modeling of New York City ZIP Code-level Testing Results](https://doi.org/10.1101/2020.05.14.20101691)","medRxiv","2020-05-20"
"[COVID Faster R-CNN: A Novel Framework to Diagnose Novel Coronavirus Disease (COVID-19) in X-Ray Images](https://doi.org/10.1101/2020.05.14.20101873)","medRxiv","2020-05-20"
"[COVID-19 Epidemic Forecast in Different States of India using SIR Model](https://doi.org/10.1101/2020.05.14.20101725)","medRxiv","2020-05-20"
"[COVID-19 FATALITY RISK: WHY IS AUSTRALIA LOWER THAN SOUTH KOREA?](https://doi.org/10.1101/2020.05.14.20101378)","medRxiv","2020-05-20"
"[COVID-19 Pandemic: Is Chronic Inflammation a Major Cause of Death?](https://doi.org/10.1101/2020.05.12.20099572)","medRxiv","2020-05-20"
"[COVID-19 management in a UK NHS Foundation Trust with a High Consequence Infectious Diseases centre: a detailed descriptive analysis](https://doi.org/10.1101/2020.05.14.20100834)","medRxiv","2020-05-20"
"[COVID-19: disease pathways and gene expression changes predict methylprednisolone can improve outcome in severe cases](https://doi.org/10.1101/2020.05.06.20076687)","medRxiv","2020-05-21"
"[Changing travel patterns in China during the early stages of the COVID-19 pandemic](https://doi.org/10.1101/2020.05.14.20101824)","medRxiv","2020-05-20"
"[Clinical Observation of the Number of Lymphocytes and T Cell Subsets in Patients with COVID-19 at Different Stages](https://doi.org/10.21203/rs.3.rs-30379/v1)","Research Square","2020-05-20"
"[Clinical characteristics and early outcomes in patients with COVID-19 treated with tocilizumab at a United States academic center](https://doi.org/10.1101/2020.05.13.20100404)","medRxiv","2020-05-20"
"[Clinical evaluation of IFN beta1b in COVID-19 pneumonia: a retrospective study](https://doi.org/10.1101/2020.05.15.20084293)","medRxiv","2020-05-21"
"[Clinical features of COVID-19 patients in one designated medical institutions in Chengdu, China](https://doi.org/10.21203/rs.3.rs-30405/v1)","Research Square","2020-05-21"
"[Computational Screening of Phytochemicals from Medicinal plants as COVID-19 Inhibitors](https://doi.org/10.26434/chemrxiv.12320273.v1)","ChemRxiv","2020-05-20"
"[Covid-19 effects on the workload and mental health of Iranian healthcare workers](https://doi.org/10.21203/rs.3.rs-27866/v1)","Research Square","2020-05-20"
"[Detecting the Emergent or Re-Emergent COVID-19 Pandemic in a Country: Modelling Study of Combined Primary Care and Hospital Surveillance](https://doi.org/10.1101/2020.05.13.20100743)","medRxiv","2020-05-20"
"[Development of a Predictive Score for COVID-19 Diagnosis based on Demographics and Symptoms in Patients Attended at a Dedicated Screening Unit](https://doi.org/10.1101/2020.05.14.20101931)","medRxiv","2020-05-20"
"[Disparities in COVID-19 Reported Incidence, Knowledge, and Behavior](https://doi.org/10.1101/2020.05.15.20095927)","medRxiv","2020-05-20"
"[Efficacy of moist heat decontamination against various pathogens for the reuse of N95 respirators in the COVID-19 emergency](https://doi.org/10.1101/2020.05.13.20100651)","medRxiv","2020-05-20"
"[Empiric model for short-time prediction of COVID-19 spreading](https://doi.org/10.1101/2020.05.13.20101329)","medRxiv","2020-05-20"
"[Empirical Assessment of COVID-19 Crisis Standards of Care Guidelines](https://doi.org/10.1101/2020.05.16.20098657)","medRxiv","2020-05-21"
"[Estimation of COVID-19 transmission rates in California and the U.S. with reporting delays](https://doi.org/10.1101/2020.05.14.20101162)","medRxiv","2020-05-20"
"[Exploring alternative medicine options for the prevention or treatment of coronavirus disease 2019 (COVID-19)- A systematic scoping review](https://doi.org/10.1101/2020.05.14.20101352)","medRxiv","2020-05-20"
"[Factors affecting COVID-19 outcomes in cancer patients − A first report from Guys Cancer Centre in London](https://doi.org/10.1101/2020.05.12.20094219)","medRxiv","2020-05-20"
"[Flatten the Curve! Modeling SARS-CoV-2/COVID-19 Growth in Germany on the County Level](https://doi.org/10.1101/2020.05.14.20101667)","medRxiv","2020-05-20"
"[Forecasting the COVID-19 Pandemic with Climate Variables for Top Five Burdening and Three South Asian Countries](https://doi.org/10.1101/2020.05.12.20099044)","medRxiv","2020-05-20"
"[High Throughput Designing and Mutational Mapping of RBD-ACE2 Interface Guide Non-Conventional Therapeutic Strategies for COVID-19](https://doi.org/10.1101/2020.05.19.104042)","bioRxiv","2020-05-21"
"[How are adversities during COVID-19 affecting mental health? Differential associations for worries and experiences and implications for policy](https://doi.org/10.1101/2020.05.14.20101717)","medRxiv","2020-05-20"
"[Hydroxychloroquine in COVID-19: A systematic review and meta-analysis](https://doi.org/10.1101/2020.05.14.20101774)","medRxiv","2020-05-20"
"[Is there a link between temperatures and COVID-19 contagions? Evidence from Italy](https://doi.org/10.1101/2020.05.13.20101261)","medRxiv","2020-05-20"
"[Isolation of and Characterization of Neutralizing Antibodies to Covid-19 from a Large Human Naïve scFv Phage Display Library](https://doi.org/10.1101/2020.05.19.104281)","bioRxiv","2020-05-21"
"[Logarithmic Quadratic Regression Model for Early Periods of COVID-19 Epidemic Count Data](https://doi.org/10.21203/rs.3.rs-28828/v1)","Research Square","2020-05-20"
"[Making sense of publicly available data on COVID-19 in Ireland](https://doi.org/10.1101/2020.05.13.20101089)","medRxiv","2020-05-20"
"[Manifestations of mortality based global data of COVID-19; unifying global model through single parameter](https://doi.org/10.1101/2020.05.13.20100255)","medRxiv","2020-05-20"
"[Media Exposure to COVID-19 Information, Risk Perception, Social and Geographical Proximity, and Self-Rated Anxiety in China](https://doi.org/10.21203/rs.3.rs-27868/v1)","Research Square","2020-05-20"
"[Medical Doctors Awareness, Perception, and Attitude towards COVID-19 in Bangladesh: A Cross sectional study](https://doi.org/10.1101/2020.05.14.20101659)","medRxiv","2020-05-20"
"[Mental health in the UK during the COVID-19 pandemic: early observations](https://doi.org/10.1101/2020.05.14.20102012)","medRxiv","2020-05-20"
"[Molecular Docking Study of COVID-19 Main Protease with Clinically Approved Drugs](https://doi.org/10.26434/chemrxiv.12318689.v1)","ChemRxiv","2020-05-20"
"[Mortality rates from COVID-19 in Spain and Italy, Lessons for the UK!](https://doi.org/10.1101/2020.05.13.20100453)","medRxiv","2020-05-20"
"[Mutations in Spike Protein of SARS-CoV-2 Modulate Receptor Binding, Membrane Fusion and Immunogenicity: An Insight into Viral Tropism and Pathogenesis of COVID-19](https://doi.org/10.26434/chemrxiv.12320567.v1)","ChemRxiv","2020-05-20"
"[Natural Compounds from Djiboutian Medicinal Plants as Inhibitors of COVID-19 by in Silico Investigations](https://doi.org/10.26434/chemrxiv.12325844.v1)","ChemRxiv","2020-05-20"
"[Obesity and COVID-19: The role of visceral adipose tissue](https://doi.org/10.1101/2020.05.14.20101998)","medRxiv","2020-05-20"
"[Outcomes of Hydroxychloroquine Treatment Among Hospitalized COVID-19 Patients in the United States- Real-World Evidence From a Federated Electronic Medical Record Network](https://doi.org/10.1101/2020.05.12.20099028)","medRxiv","2020-05-20"
"[Parametric Nasopharyngeal Swab for Sampling COVID-19 and Other Respiratory Viruses: Open Source Design, SLA 3-D Printing and UV Curing System](https://doi.org/10.20944/preprints202005.0310.v1)","Preprints.org","2020-05-21"
"[People’s perception of quarantine during the COVID-19 outbreak in Shantou, China](https://doi.org/10.21203/rs.3.rs-21187/v1)","Research Square","2020-05-20"
"[Personality Traits, Risk Perception, and Protective Behaviors during the COVID-19 pandemic](https://doi.org/10.21203/rs.3.rs-29379/v1)","Research Square","2020-05-21"
"[Positive results for patients with COVID-19 discharged form hospital in Chongqing, China](https://doi.org/10.21203/rs.3.rs-17725/v2)","Research Square","2020-05-20"
"[Prediction for the Negative Conversion Probability of Nucleic Acid Testing in Patients with Nonsevere COVID-19 Pneumonia: A Model Based on Retrospective Cohort Study](https://doi.org/10.21203/rs.3.rs-29277/v1)","Research Square","2020-05-21"
"[Predictors of COVID-19 incidence, mortality, and epidemic growth rate at the country level](https://doi.org/10.1101/2020.05.15.20101097)","medRxiv","2020-05-20"
"[Primary Care Population Management for COVID-19 Patients](https://doi.org/10.21203/rs.3.rs-29530/v1)","Research Square","2020-05-20"
"[Projecting Demand-Supply Gap of Hospital Capacity in India in the face of COVID-19 pandemic using Age-Structured Deterministic SEIR model](https://doi.org/10.1101/2020.05.14.20100537)","medRxiv","2020-05-20"
"[Quantitative SARS-CoV-2 antibody screening of healthcare workers in the southern part of Kyoto city during the COVID-19 peri-pandemic period](https://doi.org/10.1101/2020.05.12.20098962)","medRxiv","2020-05-20"
"[Rapid estimation of excess mortality in times of COVID-19 in Portugal - Beyond reported deaths](https://doi.org/10.1101/2020.05.14.20100909)","medRxiv","2020-05-20"
"[Reciprocal association between participation to a national election and the epidemic spread of COVID-19 in France: nationwide observational and dynamic modeling study.](https://doi.org/10.1101/2020.05.14.20090100)","medRxiv","2020-05-21"
"[Risk factors for adverse clinical outcomes in patients with COVID-19: A systematic review and meta-analysis](https://doi.org/10.1101/2020.05.13.20100495)","medRxiv","2020-05-20"
"[Risk factors for hospital admission related to COVID-19 in inflammatory rheumatic diseases](https://doi.org/10.1101/2020.05.14.20101584)","medRxiv","2020-05-20"
"[Risk interactions of coronavirus infection across age groups after the peak of COVID-19 epidemic](https://doi.org/10.1101/2020.05.17.20105049)","medRxiv","2020-05-21"
"[Semantic and geographical analysis of Covid-19 trials reveals a fragmented clinical research landscape likely to impair informativeness.](https://doi.org/10.1101/2020.05.14.20101758)","medRxiv","2020-05-20"
"[Survival of hospitalized COVID-19 patients in Northern Italy: a population-based cohort study by the ITA-COVID19 Network](https://doi.org/10.1101/2020.05.15.20103119)","medRxiv","2020-05-20"
"[The impact of COVID-19 on African American communities in the United States](https://doi.org/10.1101/2020.05.15.20096552)","medRxiv","2020-05-21"
"[The impact of super-spreaders in COVID-19: mapping genome variation worldwide](https://doi.org/10.1101/2020.05.19.097410)","bioRxiv","2020-05-21"
"[The infection fatality rate of COVID-19 inferred from seroprevalence data](https://doi.org/10.1101/2020.05.13.20101253)","medRxiv","2020-05-20"
"[Transmission onset distribution of COVID-19 in South Korea](https://doi.org/10.1101/2020.05.13.20101246)","medRxiv","2020-05-21"
"[Upper airway gene expression differentiates COVID-19 from other acute respiratory illnesses and reveals suppression of innate immune responses by SARS-CoV-2](https://doi.org/10.1101/2020.05.18.20105171)","medRxiv","2020-05-21"
"[<strong>Ageusia and Anosmia, a Common Aign of COVID-19? A Case Series from Four Countries</strong>](https://doi.org/10.20944/preprints202005.0327.v1)","Preprints.org","2020-05-22"
"[A Human-Pathogen SEIR-P Model for COVID-19 Outbreak under different intervention scenarios in Kenya](https://doi.org/10.1101/2020.05.15.20102954)","medRxiv","2020-05-21"
"[A Real-Time Statistical Model for Tracking and Forecasting COVID-19 Deaths, Prevalence and Incidence](https://doi.org/10.1101/2020.05.16.20104430)","medRxiv","2020-05-21"
"[A rational drug designing: What bioinformatics approach tells about the wisdom of practicing traditional medicines for screening the potential of Ayurvedic and natural compounds for their inhibitory effect against COVID-19 Spike, Indian strain Spike, Papain-like protease and Main Protease protein](https://doi.org/10.21203/rs.3.rs-30366/v1)","Research Square","2020-05-21"
"[Access to primary healthcare during lockdown measures for COVID-19 in rural South Africa: a longitudinal cohort study](https://doi.org/10.1101/2020.05.15.20103226)","medRxiv","2020-05-21"
"[An Age and Space Structured SIR Model Describing the Covid-19 Pandemic](https://doi.org/10.1101/2020.05.15.20103317)","medRxiv","2020-05-21"
"[An adapted ODE model to study the Dynamics of SARS-Cov-2 Infection (COVID-19): different scenarios for Brazil and other countries](https://doi.org/10.21203/rs.3.rs-29563/v1)","Research Square","2020-05-21"
"[Analysis of temporal trends in potential COVID-19 cases reported through NHS Pathways England](https://doi.org/10.1101/2020.05.16.20103820)","medRxiv","2020-05-21"
"[Asymptomatic COVID-19 Have Longer Treatment Cycle Than Moderate Type of Confirmed Patients](https://doi.org/10.1101/2020.05.16.20103796)","medRxiv","2020-05-22"
"[Ayurveda botanicals in COVID-19 management: An in silico- multitarget approach](https://doi.org/10.21203/rs.3.rs-30361/v1)","Research Square","2020-05-21"
"[Azithromycin added to Hydroxychloroquine for Patients Admitted to Intensive Care due to Coronavirus Disease 2019 (COVID-19) – Protocol of Randomized Controlled Trial AZIQUINE-ICU](https://doi.org/10.21203/rs.3.rs-22892/v2)","Research Square","2020-05-21"
